X_Value,Voltage,Voltage_0,Temperature_1
0.671038,-0.007901,22.639142,22.873096
0.681038,-0.009512,22.632699,24.708083
0.691038,-0.014346,22.63592,23.990408
0.701038,-0.012734,22.639142,24.149932
0.711038,-0.014346,22.639142,23.751079
0.721038,-0.011123,22.639142,23.990408
0.731038,-0.009512,22.639142,23.431893
0.741038,-0.012734,22.642363,23.990408
0.751038,-0.009512,22.632699,23.431893
0.761038,-0.009512,22.63592,22.873096
0.767044,-0.009512,22.63592,24.149932
0.777044,-0.009512,22.639142,23.192443
0.787044,-0.012734,22.63592,23.431893
0.797044,-0.006289,22.632699,24.070173
0.807044,-0.012734,22.639142,23.910638
0.817044,-0.012734,22.63592,24.070173
0.827044,-0.012734,22.632699,23.990408
0.837044,-0.009512,22.63592,23.830861
0.847044,0.001767,22.639142,22.952941
0.857044,-0.012734,22.639142,24.389175
0.863049,-0.011123,22.629478,24.389175
0.873049,-0.012734,22.632699,23.431893
0.883049,-0.006289,22.639142,23.272265
0.893049,-0.006289,22.632699,23.192443
0.903049,-0.009512,22.632699,23.352082
0.913049,-0.014346,22.626257,23.352082
0.923049,-0.012734,22.642363,23.830861
0.933049,-0.012734,22.632699,22.713388
0.943049,-0.009512,22.642363,23.192443
0.953049,-0.009512,22.632699,24.070173
0.958055,-0.009512,22.639142,24.628365
0.968055,-0.012734,22.632699,23.431893
0.978055,-0.009512,22.639142,24.389175
0.988055,-0.012734,22.629478,24.628365
0.998055,-0.011123,22.632699,23.671291
1.008055,-0.017568,22.63592,24.149932
1.018055,-0.012734,22.63592,22.952941
1.028055,-0.011123,22.632699,23.112614
1.038055,-0.011123,22.63592,23.671291
1.048055,-0.007901,22.63592,24.149932
1.05406,-0.011123,22.626257,23.591497
1.06406,-0.009512,22.63592,23.910638
1.07406,-0.017568,22.63592,23.032781
1.08406,-0.007901,22.632699,23.192443
1.09406,-0.006289,22.63592,23.511698
1.10406,-0.009512,22.632699,22.633526
1.11406,-0.015957,22.626257,24.070173
1.12406,-0.009512,22.63592,23.431893
1.13406,-0.014346,22.63592,22.633526
1.14406,-0.014346,22.63592,24.787796
1.150066,-0.009512,22.639142,22.873096
1.160066,-0.009512,22.632699,24.389175
1.170066,-0.011123,22.63592,24.229685
1.180066,0.001767,22.639142,23.192443
1.190066,-0.007901,22.63592,24.46891
1.200066,-0.012734,22.639142,23.990408
1.210066,-0.012734,22.632699,23.112614
1.220066,-0.014346,22.632699,23.352082
1.230066,-0.014346,22.639142,23.910638
1.240066,-0.014346,22.632699,24.54864
1.246071,-0.014346,22.63592,24.149932
1.256071,-0.009512,22.639142,22.553657
1.266071,-0.012734,22.63592,23.830861
1.276071,-0.012734,22.639142,23.990408
1.286071,-0.009512,22.632699,23.751079
1.296071,-0.012734,22.639142,23.671291
1.306071,-0.012734,22.639142,22.952941
